corral,percent,stdDev,startTime,startDelay
AWD,0.000738953,1.0713654206299739,-8,0.3
ELITE,0.002118331,0.8830181893996492,0,0.3
AMDev,0.007611212,0.961853363696144,0,0.3
A,0.050347308,0.7785847446661652,.5,1
B,0.130991674,0.7366568692612575,1.5,2.5
C,0.205330312,0.7319544270444689,5,2
D,0.275629341,0.7021292056641285,7.5,3
E,0.388738361,0.7221637663405363,10,5
F,0.568821124,0.6890632486331996,30,6.5
G,0.754864772,0.6098421307059935,37,8
H,0.850386719,0.5545906141890191,45,5
J,0.941745899,0.5469751841011253,51,4
K,1,0.5050881356001011,55,4
