raceMinute,started,atMile0,atMile1,atMile2,atMile3,atMile4,atMile5,atMile6,atMile7,atMile8,atMile9,atMile10,atMile11,atMile12,atMile13,atMile14,atMile15,atMile16,atMile17,atMile18,atMile19,atMile20,atMile21,atMile22,atMile23,atMile24,atMile25,atMile26,finished
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2400,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4840,4840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6440,6440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8480,7720,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10400,8000,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12800,8560,4240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14720,8760,5800,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15680,7840,7080,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,15680,6240,7560,1880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,15680,4480,7760,3400,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,15680,2520,8560,4320,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,15680,1000,8160,5760,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,15680,240,7520,6080,1800,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,15680,0,6200,6760,2560,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,15680,0,4360,7280,3720,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,17720,2040,3000,7600,4240,800,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,19720,4040,1760,7160,5080,1600,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,21720,6040,960,6400,6000,2120,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,23200,7520,400,5640,6120,3120,360,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,25120,8880,680,4520,6680,3520,800,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,27040,9440,1960,3320,6880,3760,1520,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,28960,9120,4160,2160,6360,5000,1880,240,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,30760,9280,5800,1400,5680,5640,2520,400,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,32400,9680,7000,920,5000,5720,3240,680,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,34000,9680,8040,1080,4200,6080,3280,1440,160,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,34960,8720,8960,1880,3200,6160,3960,1760,280,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,36880,8600,9480,3280,2360,5400,4920,2320,440,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,38400,8440,9440,4840,1880,5040,5200,2640,760,120,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,39480,7920,9760,5880,1520,4600,5280,2840,1440,200,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,40000,7000,9800,6800,1560,3760,5840,3200,1680,320,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,40000,5960,9280,7480,2160,3080,5400,3920,2160,400,120,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,40000,4520,8800,8280,3040,2400,4920,4640,2360,840,160,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,40000,2840,8840,8440,4360,1960,4640,4840,2440,1360,240,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,40000,1760,8280,9000,5080,1960,4000,4920,2960,1640,320,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,40000,640,7680,9520,5720,1840,3560,5120,3320,2000,440,120,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,40000,240,6960,9120,6320,2520,3080,4560,3920,2200,880,160,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,40000,120,6000,8560,7080,3120,2400,4320,4760,2000,1320,240,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,40000,0,5040,8240,7200,4120,2120,4280,4120,2880,1520,320,120,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,40000,0,3360,8320,7840,4680,2080,3480,4760,3000,1840,440,160,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,40000,0,2440,7760,8400,5080,2200,3000,4520,3520,2000,840,200,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,40000,0,1480,7240,8560,5360,2600,2960,4000,4280,1880,1280,200,120,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,40000,0,720,6440,8400,6400,3120,2400,3960,4160,2440,1480,320,120,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,40000,0,360,6040,7960,6600,3640,2200,3960,4080,2720,1760,480,160,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
88,40000,0,240,5120,7720,6680,4480,2200,3160,4480,2920,1920,800,200,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0
90,40000,0,120,3800,7760,7320,4400,2720,2640,4400,3480,1760,1240,200,120,40,0,0,0,0,0,0,0,0,0,0,0,0,0
