Name,Latitude,Longitude
h152,41.87946,-87.62771
h153,41.87883,-87.62769
h154,41.87819,-87.62768
h155,41.87818,-87.62833
h156,41.87817,-87.62875
h157,41.87816000000001,-87.62931
h158,41.87815,-87.62979
h159,41.87814,-87.63077
h160,41.87814,-87.63167000000001
h161,41.87813,-87.63183
h162,41.87813,-87.6323
h163,41.8784,-87.6323
h164,41.87877,-87.6323
h165,41.87896,-87.6323
h166,41.87904,-87.6323
h167,41.87919,-87.6323
h168,41.87937,-87.6323
h169,41.87975,-87.6323
h170,41.88002,-87.63231
h171,41.88067,-87.63233
h172,41.88131,-87.63235
h173,41.88157,-87.63235
h174,41.88197000000001,-87.63236000000002
h175,41.8825,-87.63244
h176,41.882580000000004,-87.6325
h177,41.88275,-87.63251
h178,41.88279,-87.63251
h179,41.88296,-87.6325
h180,41.88307,-87.6325
h181,41.88321,-87.63249
h182,41.88355,-87.6325
h183,41.88379,-87.6325
h184,41.88448,-87.63249
h185,41.88449,-87.63346
h186,41.8845,-87.6339
h187,41.88448,-87.63481
h188,41.88448,-87.63538
h189,41.88416,-87.63538
h190,41.88386,-87.63537
h191,41.88354,-87.63536
h192,41.8832,-87.63536
h193,41.8826,-87.63532
h194,41.88193,-87.6353
h195,41.88173,-87.63529
h196,41.88127,-87.63529
h197,41.88081,-87.63528
h198,41.88062,-87.63528
h199,41.87935,-87.63526
h200,41.87871,-87.63525
h201,41.87811,-87.63523
h202,41.87682,-87.63518
h203,41.87656,-87.63517
h204,41.87649,-87.63517
h205,41.87446,-87.63505
h206,41.87447,-87.63446
h207,41.87448,-87.63363
h208,41.87448,-87.63304
h209,41.87449,-87.6326
h210,41.87451,-87.6317
h211,41.87452,-87.63067
h212,41.87452,-87.63016
h213,41.87453,-87.62967
h214,41.87453,-87.6292
h215,41.87454,-87.62868
h216,41.87455,-87.62818
h217,41.87456,-87.62759
h218,41.87449,-87.62759
h219,41.87437,-87.62767
h220,41.87437,-87.62753
h221,41.87439,-87.62713
h222,41.8744,-87.62682000000001
h223,41.87441,-87.62599
h224,41.87444,-87.62478
h225,41.87445,-87.62468
h226,41.87445,-87.62432
h227,41.87436,-87.62432
h228,41.87414,-87.62431000000001
h229,41.8739,-87.62431000000001
h230,41.87368,-87.62431000000001
h231,41.87323,-87.62430000000002
h232,41.87316,-87.62429
h233,41.87306,-87.62429
h234,41.87187,-87.62425
h235,41.87059,-87.62422
h236,41.86931,-87.62418
h237,41.86872,-87.62417
h238,41.86835,-87.62418
h239,41.86821,-87.62419
h240,41.86802000000001,-87.62419
h241,41.86753,-87.62419
h242,41.86741,-87.62419
h243,41.86741,-87.62404
h244,41.8674,-87.62267
h245,41.86741,-87.62245
h246,41.86741,-87.62192
h247,41.86742,-87.62138
h248,41.86742,-87.62134
h249,41.86742,-87.62133
h250,41.86742,-87.6213
h251,41.86743,-87.62074
h252,41.86744,-87.62046
h253,41.86743,-87.62027
h254,41.86758,-87.6203
h255,41.86766,-87.62035
h256,41.867720000000006,-87.62043
h257,41.86853,-87.62048
h258,41.8686,-87.62049000000002
h259,41.86876,-87.62049000000002
h260,41.86879,-87.62049000000002
h261,41.86899,-87.6205
h262,41.86904,-87.6205
